AV-6, 10
2013-09-16T16:20:16, 36.9594915770, -65.6556094810
2013-09-16T18:20:16, 34.0863615833, -51.7540047225
2013-09-16T20:20:16, 33.4232394677, -38.3936471120
2013-09-16T22:20:16, 30.6632720400, -49.0174236428
2013-09-17T00:20:16, 29.0346829221, -40.1039910503
2013-09-17T02:20:16, 27.5786034297, -46.4528730791
2013-09-17T04:20:16, 26.0802612919, -42.4673083797
2013-09-17T06:20:16, 29.1397554427, -54.2772667017
2013-09-17T08:20:16, 34.6638164576, -66.0070180893
2013-09-17T10:20:16, 37.6560864877, -75.4231876787
AV-6, 12
2013-09-19T12:37:30, 37.6089340076, -75.1506621670
2013-09-19T14:37:30, 30.1070129871, -81.2720425799
2013-09-19T16:37:30, 26.7763300706, -91.3493738417
2013-09-19T18:37:30, 25.6711842678, -88.9879141934
2013-09-19T20:37:30, 24.6373446565, -96.2218044978
2013-09-19T22:37:30, 23.5902424436, -87.3065280542
2013-09-20T00:37:30, 21.9462774787, -96.1175580136
2013-09-20T02:37:30, 20.9608653188, -93.9552170970
2013-09-20T04:37:30, 19.1527492460, -94.8796407692
2013-09-20T06:37:30, 26.4991432149, -89.1505553853
2013-09-20T08:37:30, 32.6230169926, -79.7892339528
2013-09-20T10:37:30, 37.7303898800, -75.3165399469
AV-6, 2
2013-09-17T15:00:06, 37.4382956419, -72.3705236055
2013-09-17T17:00:06, 37.2063887492, -70.3382285871
AV-6, 4
2013-09-26T15:30:28, 34.2989467643, -76.9291155227
2013-09-26T17:30:28, 29.0509803593, -87.3228016868
2013-09-26T19:30:28, 28.1405366119, -99.1695902590
2013-09-26T21:30:28, 31.7568581924, -110.1889457647
AV-1, 7
2013-09-25T14:00:54, 35.0630845595, -75.1125370804
2013-09-25T16:00:54, 31.3162165973, -75.0028690137
2013-09-25T18:00:54, 29.8310890328, -73.2318633143
2013-09-25T20:00:54, 29.8792679608, -79.6830630675
2013-09-25T22:00:54, 28.1605146267, -91.7036320455
2013-09-26T00:00:54, 30.4924869910, -102.0034553111
2013-09-26T02:00:54, 32.5037142634, -113.8195450790
AV-6, 12
2013-09-07T13:03:07, 36.5252530016, -72.2819855623
2013-09-07T15:03:07, 28.6199684814, -69.8152772896
2013-09-07T17:03:07, 26.5901516564, -68.5819356423
2013-09-07T19:03:07, 24.5471869782, -70.5010730401
2013-09-07T21:03:07, 22.6970909815, -65.9317448270
2013-09-07T23:03:07, 21.3586367480, -66.9261421356
2013-09-08T01:03:07, 25.1365735754, -69.5357430819
2013-09-08T03:03:07, 23.3234390058, -64.2675617896
2013-09-08T05:03:07, 22.0144217648, -67.6839788351
2013-09-08T07:03:07, 22.7587268036, -70.3309697751
2013-09-08T09:03:07, 32.6617112104, -73.0415846407
2013-09-08T11:03:07, 37.8750149254, -75.1599875372
AV-1, 11
2013-09-15T15:06:57, 34.2998273671, -76.9274168462
2013-09-15T17:06:57, 27.7440942172, -86.3535847887
2013-09-15T19:06:57, 23.6679707654, -96.2931850366
2013-09-15T21:06:57, 21.2867970485, -95.8263250161
2013-09-15T23:06:57, 25.2824692335, -89.9172617309
2013-09-16T01:06:57, 28.1891018618, -85.8243079204
2013-09-16T03:06:57, 32.0167864580, -80.6350082159
2013-09-16T05:06:57, 34.0086774342, -77.3865863029
2013-09-16T07:06:57, 37.6846950129, -74.3539327662
2013-09-16T09:06:57, 37.6414697897, -74.4042484928
2013-09-16T11:06:57, 37.8569568694, -74.8089525104
AV-6, 12
2013-08-24T12:11:29, 37.1003885195, -70.6725951936
2013-08-24T14:11:29, 33.9267916046, -56.9829538465
2013-08-24T16:11:29, 27.8297918849, -46.2569830567
2013-08-24T18:11:29, 21.9102213811, -36.1628682073
2013-08-24T20:11:29, 10.9852466919, -34.9039415549
2013-08-24T22:11:29, 18.9376356639, -33.3298399206
2013-08-25T00:11:29, 15.2356781904, -30.9991219919
2013-08-25T02:11:29, 15.6438690796, -28.6647613719
2013-08-25T04:11:29, 25.1061771903, -32.8051220533
2013-08-25T06:11:29, 30.3072400577, -45.0455954578
2013-08-25T08:11:29, 34.1826612689, -58.3249514457
2013-08-25T10:11:29, 37.3764154874, -72.1118789446
