AV-6, 205
2013-09-16T14:26:16, 37.9470397811, -75.4547363240
2013-09-16T14:32:16, 37.9470452294, -75.4547323845
2013-09-16T14:38:16, 37.9468421359, -75.4553031921
2013-09-16T14:44:16, 37.8683811519, -75.4334871937
2013-09-16T14:50:16, 37.6513028517, -75.1307821367
2013-09-16T14:56:16, 37.5703335833, -75.4182500672
2013-09-16T15:02:16, 37.6751844026, -74.8995354027
2013-09-16T15:08:16, 37.7021296229, -74.2171345744
2013-09-16T15:14:16, 37.6462343149, -73.5192912631
2013-09-16T15:20:16, 37.5507786870, -72.8254266735
2013-09-16T15:26:16, 37.3766756617, -72.1686258540
2013-09-16T15:32:16, 37.2898480296, -71.4765657205
2013-09-16T15:38:16, 37.2745787166, -70.7554389071
2013-09-16T15:44:16, 37.2545863688, -70.0256713573
2013-09-16T15:50:16, 37.2247274313, -69.2977905739
2013-09-16T15:56:16, 37.1920287888, -68.5686945822
2013-09-16T16:02:16, 37.1328369621, -67.8365826979
2013-09-16T16:08:16, 37.0692164730, -67.1103001758
2013-09-16T16:14:16, 37.0128126349, -66.3868817501
2013-09-16T16:20:16, 36.9594915770, -65.6556094810
2013-09-16T16:26:16, 36.9075205084, -64.9240908679
2013-09-16T16:32:16, 36.8641541339, -64.1973893344
2013-09-16T16:38:16, 36.7775169387, -63.4826414008
2013-09-16T16:44:16, 36.6695910506, -62.7680408210
2013-09-16T16:50:16, 36.5374130476, -62.0617035404
2013-09-16T16:56:16, 36.3856163621, -61.3607911952
2013-09-16T17:02:16, 36.2264956534, -60.6510444917
2013-09-16T17:08:16, 36.0674837418, -59.9440747127
2013-09-16T17:14:16, 35.9182294551, -59.2434147466
2013-09-16T17:20:16, 35.7718763128, -58.5486220289
2013-09-16T17:26:16, 35.6347965728, -57.8485446889
2013-09-16T17:32:16, 35.4849173315, -57.1554025356
2013-09-16T17:38:16, 35.3143238090, -56.4672145899
2013-09-16T17:44:16, 35.1221236680, -55.7826370653
2013-09-16T17:50:16, 34.9107723031, -55.1057428122
2013-09-16T17:56:16, 34.6973850578, -54.4369515963
2013-09-16T18:02:16, 34.5319340844, -53.7528116908
2013-09-16T18:08:16, 34.4128603488, -53.0685431231
2013-09-16T18:14:16, 34.2703817412, -52.4056784157
2013-09-16T18:20:16, 34.0863615833, -51.7540047225
2013-09-16T18:26:16, 33.8927619159, -51.1021287739
2013-09-16T18:32:16, 33.6718610488, -50.4591578431
2013-09-16T18:38:16, 33.4485550784, -49.8225039337
2013-09-16T18:44:16, 33.5235399194, -49.1357951425
2013-09-16T18:50:16, 33.5668278392, -48.4552347288
2013-09-16T18:56:16, 33.5962023027, -47.7806666214
2013-09-16T19:02:16, 33.6250952259, -47.1162535250
